day,hour,minute,temperature_C,power_W,pmv,ai_setpoint_C
182,18,65,23.04,0.0,-0.48,25.0
182,19,15,23.04,0.0,-0.48,28.0
182,19,25,23.04,0.0,-0.48,28.0
182,19,35,23.04,0.0,-0.48,28.0
182,19,45,23.03,0.0,-0.48,28.0
182,19,55,23.03,0.0,-0.48,28.0
182,19,65,23.03,0.0,-0.49,28.0
182,20,10,23.02,0.0,-0.49,28.0
182,20,20,23.02,0.0,-0.49,28.0
182,20,30,23.02,0.0,-0.49,28.0
182,20,40,23.02,0.0,-0.49,28.0
182,20,50,23.02,0.0,-0.49,28.0
182,20,60,23.01,0.0,-0.49,28.0
182,21,10,23.02,0.0,-0.49,28.0
182,21,20,23.03,0.0,-0.48,28.0
182,21,30,23.04,0.0,-0.48,28.0
182,21,40,23.05,0.0,-0.47,28.0
182,21,50,23.07,0.0,-0.47,28.0
182,21,60,23.08,0.0,-0.46,28.0
182,22,10,23.09,0.0,-0.45,28.0
182,22,20,23.09,0.0,-0.45,28.0
182,22,30,23.1,0.0,-0.45,28.0
182,22,40,23.1,0.0,-0.45,28.0
182,22,50,23.1,0.0,-0.45,28.0
182,22,60,23.1,0.0,-0.45,28.0
182,23,10,23.17,0.0,-0.41,28.0
182,23,20,23.21,0.0,-0.4,28.0
182,23,30,23.23,0.0,-0.38,28.0
182,23,40,23.24,0.0,-0.38,28.0
182,23,50,23.25,0.0,-0.37,28.0
182,23,60,23.26,0.0,-0.37,28.0
183,0,10,23.27,0.0,-0.37,28.0
183,0,20,23.27,0.0,-0.36,28.0
183,0,30,23.27,0.0,-0.36,28.0
183,0,40,23.28,0.0,-0.36,28.0
183,0,50,23.28,0.0,-0.36,28.0
183,0,60,23.28,0.0,-0.36,28.0
183,1,10,23.28,0.0,-0.36,28.0
183,1,20,23.28,0.0,-0.36,28.0
183,1,30,23.28,0.0,-0.36,28.0
183,1,40,23.28,0.0,-0.36,28.0
183,1,50,23.28,0.0,-0.36,28.0
183,1,60,23.28,0.0,-0.36,28.0
183,2,10,23.28,0.0,-0.36,28.0
183,2,20,23.28,0.0,-0.36,28.0
183,2,30,23.28,0.0,-0.36,28.0
183,2,40,23.28,0.0,-0.36,28.0
183,2,50,23.28,0.0,-0.36,28.0
183,2,60,23.28,0.0,-0.36,28.0
183,3,10,23.27,0.0,-0.36,28.0
183,3,20,23.27,0.0,-0.36,28.0
183,3,30,23.27,0.0,-0.37,28.0
183,3,40,23.27,0.0,-0.37,28.0
183,3,50,23.27,0.0,-0.37,28.0
183,3,60,23.26,0.0,-0.37,28.0
183,4,10,23.27,0.0,-0.36,28.0
183,4,20,23.28,0.0,-0.36,28.0
183,4,30,23.28,0.0,-0.36,28.0
183,4,40,23.29,0.0,-0.36,28.0
183,4,50,23.29,0.0,-0.36,28.0
183,4,60,23.29,0.0,-0.36,28.0
183,5,13,23.73,1391816.54,-0.13,28.0
183,5,20,24.08,1445619.95,0.04,28.0
183,5,30,24.18,1470400.89,0.09,28.0
183,5,40,24.29,1482797.59,0.15,28.0
183,5,55,24.35,1504175.74,0.18,28.0
183,5,65,24.41,1523381.25,0.2,28.0
183,6,15,24.2,1366884.28,0.1,28.0
183,6,25,24.1,1375682.05,0.05,28.0
183,6,35,24.06,1382543.43,0.03,28.0
183,6,45,24.06,1394061.85,0.03,28.0
183,6,55,24.07,1405591.52,0.03,28.0
183,6,65,24.08,1423766.53,0.04,28.0
183,7,15,24.57,1836181.08,0.28,25.0
183,7,25,24.88,1862227.68,0.44,25.0
183,7,35,24.99,1909925.34,0.49,25.0
183,7,45,25.0,1966598.32,0.5,25.0
183,7,55,25.0,2009192.13,0.5,25.0
183,7,65,25.0,2047466.31,0.5,25.0
183,8,15,25.0,2091352.9,0.5,26.0
183,8,25,25.34,2020531.68,0.67,26.0
183,8,35,25.54,2045442.35,0.77,26.0
183,8,45,25.67,2065709.64,0.84,26.0
183,8,55,25.77,2092474.03,0.89,26.0
183,8,65,25.86,2119170.31,0.93,26.0
183,9,15,25.93,2139883.24,0.96,26.5
183,9,25,25.99,2159940.52,1.0,26.5
183,9,35,26.05,2179380.09,1.02,26.5
183,9,45,26.11,2196328.99,1.05,26.5
183,9,55,26.16,2211997.04,1.08,26.5
183,9,65,26.21,2224668.68,1.11,26.5
183,10,15,26.26,2243191.19,1.13,25.5
183,10,23,25.52,2531848.12,0.76,25.5
183,10,35,25.5,2460862.61,0.75,25.5
183,10,45,25.5,2478766.17,0.75,25.5
183,10,53,25.5,2501212.66,0.75,25.5
183,10,63,25.5,2522744.83,0.75,25.5
183,11,13,25.5,2407201.25,0.75,26.0
183,11,23,25.89,2309422.06,0.94,26.0
183,11,32,26.0,2373670.26,1.0,26.0
183,11,42,26.0,2413760.82,1.0,26.0
183,11,53,26.0,2450911.31,1.0,26.0
183,11,62,26.0,2488220.43,1.0,26.0
183,12,13,26.0,2668498.37,1.0,25.5
183,12,23,25.52,2858725.01,0.76,25.5
183,12,33,25.5,2823187.23,0.75,25.5
183,12,43,25.5,2848185.62,0.75,25.5
183,12,55,25.5,2873388.42,0.75,25.5
183,12,65,25.5,2897265.77,0.75,25.5
183,13,15,25.5,2908330.0,0.75,26.0
183,13,25,25.96,2792743.18,0.98,26.0
183,13,35,26.0,2852783.13,1.0,26.0
183,13,40,26.0,2873415.61,1.0,26.0
183,13,50,26.0,2890706.45,1.0,26.0
183,13,60,26.0,2907053.54,1.0,26.0
183,14,15,26.0,2920464.97,1.0,25.5
183,14,25,25.54,3071360.43,0.77,25.5
183,14,35,25.5,3014526.43,0.75,25.5
183,14,45,25.5,3019995.27,0.75,25.5
183,14,55,25.5,3027261.86,0.75,25.5
183,14,65,25.5,3034626.61,0.75,25.5
183,15,15,25.5,3024853.79,0.75,26.0
183,15,25,25.96,2885779.15,0.98,26.0
183,15,35,26.0,2936899.42,1.0,26.0
183,15,45,26.0,2939090.12,1.0,26.0
183,15,55,26.0,2936330.64,1.0,26.0
183,15,65,26.0,2932355.13,1.0,26.0
183,16,15,26.0,2526992.78,1.0,25.5
183,16,25,25.54,2628247.77,0.77,25.5
183,16,35,25.5,2547052.88,0.75,25.5
183,16,45,25.5,2525291.14,0.75,25.5
183,16,55,25.5,2506133.79,0.75,25.5
183,16,63,25.5,2483919.99,0.75,25.5
183,17,13,25.5,2321596.81,0.75,26.0
183,17,23,25.74,2195597.69,0.87,26.0
183,17,33,25.89,2163402.45,0.95,26.0
183,17,43,25.93,2136771.06,0.96,26.0
183,17,53,25.93,2117384.79,0.97,26.0
183,17,63,25.92,2099113.46,0.96,26.0
183,18,13,25.9,2084919.35,0.95,26.5
183,18,23,25.88,2066275.79,0.94,26.5
183,18,33,25.86,2046270.36,0.93,26.5
183,18,43,25.83,2019597.0,0.92,26.5
183,18,53,25.81,1990120.55,0.91,26.5
183,18,63,25.79,1956475.9,0.9,26.5
183,19,13,25.73,1885544.94,0.87,28.0
183,19,23,25.66,1832033.96,0.83,28.0
183,19,33,25.6,1769813.65,0.8,28.0
183,19,43,25.53,1725414.31,0.77,28.0
183,19,53,25.46,1687494.01,0.73,28.0
183,19,63,25.39,1652827.34,0.69,28.0
183,20,13,25.32,1627670.28,0.66,28.0
183,20,23,25.25,1604826.42,0.62,28.0
183,20,35,25.18,1583731.64,0.59,28.0
183,20,45,25.12,1563834.56,0.56,28.0
183,20,55,25.05,1545004.62,0.53,28.0
183,20,65,25.0,1527010.95,0.5,28.0
183,21,15,24.89,0.0,0.44,28.0
183,21,25,24.8,0.0,0.4,28.0
183,21,35,24.75,0.0,0.38,28.0
183,21,45,24.71,0.0,0.36,28.0
183,21,55,24.68,0.0,0.34,28.0
183,21,65,24.66,0.0,0.33,28.0
183,22,15,24.62,0.0,0.31,28.0
183,22,20,24.58,0.0,0.29,28.0
183,22,30,24.55,0.0,0.27,28.0
183,22,40,24.51,0.0,0.26,28.0
183,22,50,24.48,0.0,0.24,28.0
183,22,60,24.45,0.0,0.23,28.0
183,23,10,24.41,0.0,0.21,28.0
183,23,20,24.38,0.0,0.19,28.0
183,23,30,24.36,0.0,0.18,28.0
183,23,40,24.33,0.0,0.17,28.0
183,23,50,24.31,0.0,0.15,28.0
183,23,60,24.28,0.0,0.14,28.0
184,0,10,24.25,0.0,0.13,28.0
184,0,20,24.22,0.0,0.11,28.0
184,0,30,24.18,0.0,0.09,28.0
184,0,40,24.15,0.0,0.07,28.0
184,0,50,24.11,0.0,0.06,28.0
184,0,60,24.07,0.0,0.04,28.0
184,1,10,24.05,0.0,0.02,28.0
184,1,20,24.03,0.0,0.01,28.0
184,1,30,24.01,0.0,0.0,28.0
184,1,40,23.99,0.0,-0.01,28.0
184,1,50,23.97,0.0,-0.01,28.0
184,1,60,23.95,0.0,-0.02,28.0
184,2,10,23.93,0.0,-0.03,28.0
184,2,20,23.91,0.0,-0.05,28.0
184,2,30,23.88,0.0,-0.06,28.0
184,2,40,23.86,0.0,-0.07,28.0
184,2,50,23.83,0.0,-0.08,28.0
184,2,60,23.81,0.0,-0.1,28.0
184,3,10,23.78,0.0,-0.11,28.0
184,3,20,23.76,0.0,-0.12,28.0
184,3,30,23.73,0.0,-0.13,28.0
184,3,40,23.71,0.0,-0.15,28.0
184,3,50,23.68,0.0,-0.16,28.0
184,3,60,23.66,0.0,-0.17,28.0
184,4,10,23.65,0.0,-0.17,28.0
184,4,20,23.65,0.0,-0.18,28.0
184,4,30,23.64,0.0,-0.18,28.0
184,4,40,23.63,0.0,-0.18,28.0
184,4,50,23.63,0.0,-0.19,28.0
184,4,60,23.62,0.0,-0.19,28.0
184,5,13,24.13,1416280.86,0.07,28.0
184,5,25,24.62,1519211.77,0.31,28.0
184,5,35,24.83,1547749.56,0.42,28.0
184,5,45,24.96,1564758.6,0.48,28.0
184,5,53,25.05,1582207.04,0.53,28.0
184,5,63,25.12,1601110.14,0.56,28.0
184,6,13,24.74,1399079.64,0.37,28.0
184,6,23,24.48,1428230.4,0.24,28.0
184,6,33,24.37,1450065.79,0.19,28.0
184,6,43,24.34,1472019.23,0.17,28.0
184,6,53,24.35,1492925.87,0.17,28.0
184,6,63,24.39,1520746.51,0.19,28.0
184,7,13,24.87,1847547.26,0.43,26.5
184,7,22,25.32,1898372.2,0.66,26.5
184,7,32,25.55,1942177.6,0.78,26.5
184,7,42,25.7,1978785.74,0.85,26.5
184,7,52,25.81,2013533.4,0.91,26.5
184,7,62,25.91,2045215.38,0.95,26.5
184,8,12,25.99,2074817.59,1.0,26.0
184,8,22,26.0,2123512.36,1.0,26.0
184,8,32,26.0,2158345.18,1.0,26.0
184,8,42,26.0,2190175.26,1.0,26.0
184,8,52,26.0,2216960.33,1.0,26.0
184,8,62,26.0,2240363.1,1.0,26.0
184,9,12,26.0,2269181.95,1.0,25.5
184,9,22,25.51,2420909.24,0.75,25.5
184,9,32,25.5,2386146.88,0.75,25.5
184,9,42,25.5,2406598.65,0.75,25.5
184,9,53,25.5,2427219.8,0.75,25.5
184,9,62,25.5,2448896.43,0.75,25.5
184,10,12,25.5,2482820.32,0.75,26.0
184,10,23,25.94,2417182.22,0.97,26.0
184,10,32,26.0,2486919.46,1.0,26.0
184,10,42,26.0,2522942.88,1.0,26.0
184,10,53,26.0,2556135.4,1.0,26.0
184,10,62,26.0,2593163.6,1.0,26.0
184,11,13,26.0,2474809.63,1.0,25.5
184,11,23,25.52,2598595.7,0.76,25.5
184,11,33,25.5,2544637.63,0.75,25.5
184,11,43,25.5,2550734.65,0.75,25.5
184,11,53,25.5,2559397.7,0.75,25.5
184,11,65,25.5,2569733.02,0.75,25.5
184,12,15,25.5,2721069.5,0.75,26.0
184,12,25,25.96,2643522.77,0.98,26.0
184,12,30,26.0,2724640.59,1.0,26.0
184,12,40,26.0,2759037.52,1.0,26.0
184,12,50,26.0,2792702.41,1.0,26.0
184,12,60,26.0,2826421.45,1.0,26.0
184,13,10,26.0,2829204.41,1.0,25.5
184,13,25,25.54,2945666.65,0.77,25.5
184,13,35,25.5,2897076.74,0.75,25.5
184,13,45,25.5,2891720.22,0.75,25.5
184,13,55,25.5,2885333.79,0.75,25.5
184,13,63,25.5,2879505.25,0.75,25.5
184,14,13,25.5,2902913.12,0.75,26.0
184,14,25,25.96,2809887.98,0.98,26.0
184,14,35,26.0,2892292.93,1.0,26.0
184,14,45,26.0,2922048.87,1.0,26.0
184,14,53,26.0,2950651.71,1.0,26.0
184,14,63,26.0,2979100.57,1.0,26.0
184,15,13,26.0,2996153.92,1.0,25.5
184,15,23,25.52,3115230.55,0.76,25.5
184,15,33,25.5,3086689.38,0.75,25.5
184,15,43,25.5,3092832.16,0.75,25.5
184,15,53,25.5,3099135.17,0.75,25.5
184,15,63,25.5,3104778.06,0.75,25.5
184,16,13,25.5,2720617.08,0.75,26.0
184,16,23,25.93,2559804.04,0.97,26.0
184,16,33,26.0,2600146.39,1.0,26.0
184,16,43,26.0,2584499.55,1.0,26.0
184,16,53,26.0,2568722.86,1.0,26.0
184,16,63,26.0,2555865.44,1.0,26.0
184,17,13,26.0,2429345.43,1.0,25.5
184,17,23,25.52,2532018.23,0.76,25.5
184,17,33,25.5,2454503.05,0.75,25.5
184,17,43,25.5,2441570.61,0.75,25.5
184,17,53,25.5,2430986.52,0.75,25.5
184,17,63,25.5,2420355.75,0.75,25.5
184,18,13,25.5,2379898.07,0.75,26.0
184,18,23,25.86,2241803.64,0.93,26.0
184,18,33,25.99,2242309.41,1.0,26.0
184,18,43,26.0,2217152.57,1.0,26.0
184,18,53,26.0,2188967.94,1.0,26.0
184,18,63,26.0,2158840.85,1.0,26.0
184,19,13,26.0,2097557.98,1.0,28.0
184,19,23,26.07,2037281.21,1.04,28.0
184,19,33,26.1,2000613.8,1.05,28.0
184,19,43,26.09,1975118.77,1.05,28.0
184,19,53,26.08,1953929.75,1.04,28.0
184,19,65,26.05,1934741.48,1.03,28.0
184,20,15,26.03,1917582.14,1.01,28.0
184,20,25,26.0,1901488.52,1.0,28.0
184,20,35,25.97,1886232.75,0.99,28.0
184,20,45,25.94,1871650.37,0.97,28.0
184,20,55,25.92,1857535.99,0.96,28.0
184,20,65,25.89,1843772.82,0.94,28.0
184,21,13,25.71,0.0,0.85,28.0
184,21,20,25.53,0.0,0.77,28.0
184,21,30,25.47,0.0,0.73,28.0
184,21,40,25.43,0.0,0.71,28.0
184,21,50,25.4,0.0,0.7,28.0
184,21,60,25.38,0.0,0.69,28.0
184,22,10,25.35,0.0,0.67,28.0
184,22,20,25.32,0.0,0.66,28.0
184,22,30,25.29,0.0,0.65,28.0
184,22,40,25.27,0.0,0.64,28.0
184,22,50,25.25,0.0,0.63,28.0
184,22,60,25.23,0.0,0.62,28.0
184,23,10,25.12,0.0,0.56,28.0
184,23,20,25.06,0.0,0.53,28.0
184,23,30,25.01,0.0,0.51,28.0
184,23,40,24.98,0.0,0.49,28.0
184,23,50,24.95,0.0,0.48,28.0
184,23,60,24.93,0.0,0.46,28.0
185,0,10,24.89,0.0,0.45,28.0
185,0,20,24.86,0.0,0.43,28.0
185,0,30,24.82,0.0,0.41,28.0
185,0,40,24.79,0.0,0.39,28.0
185,0,50,24.75,0.0,0.38,28.0
185,0,60,24.72,0.0,0.36,28.0
185,1,10,24.69,0.0,0.34,28.0
185,1,20,24.66,0.0,0.33,28.0
185,1,30,24.64,0.0,0.32,28.0
185,1,40,24.61,0.0,0.31,28.0
185,1,50,24.59,0.0,0.29,28.0
185,1,60,24.56,0.0,0.28,28.0
185,2,10,24.54,0.0,0.27,28.0
185,2,20,24.52,0.0,0.26,28.0
185,2,30,24.49,0.0,0.25,28.0
185,2,40,24.47,0.0,0.24,28.0
185,2,50,24.45,0.0,0.22,28.0
185,2,60,24.43,0.0,0.21,28.0
185,3,10,24.41,0.0,0.2,28.0
185,3,20,24.4,0.0,0.2,28.0
185,3,30,24.39,0.0,0.19,28.0
185,3,40,24.38,0.0,0.19,28.0
185,3,50,24.37,0.0,0.18,28.0
185,3,60,24.36,0.0,0.18,28.0
185,4,10,24.35,0.0,0.17,28.0
185,4,20,24.34,0.0,0.17,28.0
185,4,30,24.34,0.0,0.17,28.0
185,4,40,24.33,0.0,0.17,28.0
185,4,50,24.33,0.0,0.16,28.0
185,4,60,24.33,0.0,0.16,28.0
185,5,10,24.34,0.0,0.17,28.0
185,5,20,24.34,0.0,0.17,28.0
185,5,35,24.35,0.0,0.18,28.0
185,5,45,24.37,0.0,0.18,28.0
185,5,55,24.38,0.0,0.19,28.0
185,5,65,24.4,0.0,0.2,28.0
185,6,15,24.43,0.0,0.22,28.0
185,6,23,24.47,0.0,0.23,28.0
185,6,33,24.51,0.0,0.26,28.0
185,6,43,24.56,0.0,0.28,28.0
185,6,53,24.61,0.0,0.31,28.0
185,6,63,24.67,0.0,0.33,28.0
185,7,13,24.71,0.0,0.36,25.0
185,7,23,24.74,0.0,0.37,25.0
185,7,33,24.77,0.0,0.38,25.0
185,7,43,24.79,0.0,0.4,25.0
185,7,53,24.81,0.0,0.41,25.0
185,7,63,24.83,0.0,0.42,25.0
185,8,13,24.85,0.0,0.43,25.0
185,8,23,24.88,0.0,0.44,25.0
185,8,33,24.9,0.0,0.45,25.0
185,8,43,24.93,0.0,0.46,25.0
185,8,53,24.95,0.0,0.48,25.0
185,8,63,24.98,83534.78,0.49,25.0
185,9,12,25.0,409996.37,0.5,26.0
185,9,23,25.03,363143.18,0.52,26.0
185,9,32,25.06,0.0,0.53,26.0
185,9,43,25.08,247228.88,0.54,26.0
185,9,53,25.11,367883.46,0.55,26.0
185,9,65,25.14,349526.26,0.57,26.0
185,10,10,25.15,0.0,0.58,26.0
185,10,20,25.16,0.0,0.58,26.0
185,10,30,25.17,0.0,0.58,26.0
185,10,40,25.18,0.0,0.59,26.0
185,10,55,25.18,0.0,0.59,26.0
185,10,63,25.18,0.0,0.59,26.0
185,11,12,25.19,0.0,0.6,26.0
185,11,22,25.2,0.0,0.6,26.0
185,11,32,25.21,0.0,0.6,26.0
185,11,42,25.22,0.0,0.61,26.0
185,11,53,25.23,0.0,0.61,26.0
185,11,63,25.24,0.0,0.62,26.0
185,12,15,25.26,0.0,0.63,26.0
185,12,25,25.29,0.0,0.64,26.0
185,12,30,25.32,0.0,0.66,26.0
185,12,40,25.35,0.0,0.67,26.0
185,12,50,25.38,0.0,0.69,26.0
185,12,60,25.41,0.0,0.7,26.0
185,13,10,25.42,0.0,0.71,26.5
185,13,20,25.44,0.0,0.72,26.5
185,13,30,25.45,0.0,0.72,26.5
185,13,40,25.46,0.0,0.73,26.5
185,13,50,25.47,0.0,0.74,26.5
185,13,60,25.48,0.0,0.74,26.5
185,14,10,25.5,0.0,0.75,26.0
185,14,20,25.52,0.0,0.76,26.0
185,14,35,25.54,489482.06,0.77,26.0
185,14,40,25.57,446131.19,0.79,26.0
185,14,50,25.6,454840.42,0.8,26.0
185,14,62,25.61,0.0,0.81,26.0
185,15,15,25.64,552865.82,0.82,26.5
185,15,20,25.66,486332.14,0.83,26.5
185,15,35,25.67,487139.04,0.83,26.5
185,15,42,25.68,0.0,0.84,26.5
185,15,53,25.7,568634.64,0.85,26.5
185,15,65,25.71,506182.89,0.86,26.5
185,16,15,25.72,501087.58,0.86,26.5
185,16,22,25.73,0.0,0.86,26.5
185,16,33,25.74,567504.38,0.87,26.5
185,16,43,25.74,505771.43,0.87,26.5
185,16,53,25.75,494171.65,0.88,26.5
185,16,63,25.76,0.0,0.88,26.5
185,17,13,25.76,530127.13,0.88,26.5
185,17,23,25.76,476078.23,0.88,26.5
185,17,33,25.76,459122.11,0.88,26.5
185,17,43,25.76,0.0,0.88,26.5
185,17,53,25.76,479358.25,0.88,26.5
185,17,63,25.76,430254.3,0.88,26.5
185,18,13,25.76,415481.09,0.88,26.5
185,18,23,25.76,0.0,0.88,26.5
185,18,33,25.76,420807.54,0.88,26.5
185,18,43,25.76,384489.74,0.88,26.5
185,18,53,25.76,375876.3,0.88,26.5
185,18,65,25.75,0.0,0.88,26.5
185,19,15,25.75,0.0,0.87,28.0
185,19,25,25.75,0.0,0.87,28.0
185,19,35,25.74,0.0,0.87,28.0
185,19,45,25.74,0.0,0.87,28.0
185,19,55,25.73,0.0,0.86,28.0
185,19,65,25.72,0.0,0.86,28.0
185,20,15,25.71,0.0,0.86,28.0
185,20,25,25.7,0.0,0.85,28.0
185,20,35,25.69,0.0,0.85,28.0
185,20,40,25.68,0.0,0.84,28.0
185,20,50,25.67,0.0,0.83,28.0
185,20,60,25.66,0.0,0.83,28.0
185,21,10,25.65,0.0,0.83,28.0
185,21,20,25.65,0.0,0.82,28.0
185,21,30,25.65,0.0,0.82,28.0
185,21,40,25.65,0.0,0.82,28.0
185,21,50,25.65,0.0,0.82,28.0
185,21,60,25.65,0.0,0.82,28.0
185,22,10,25.65,0.0,0.82,28.0
185,22,20,25.65,0.0,0.82,28.0
185,22,30,25.65,0.0,0.82,28.0
185,22,40,25.65,0.0,0.83,28.0
185,22,50,25.65,0.0,0.83,28.0
185,22,60,25.65,0.0,0.83,28.0
185,23,10,25.71,0.0,0.86,28.0
185,23,20,25.73,0.0,0.87,28.0
185,23,30,25.74,0.0,0.87,28.0
185,23,40,25.74,0.0,0.87,28.0
185,23,50,25.73,0.0,0.87,28.0
185,23,60,25.73,0.0,0.86,28.0
186,0,10,25.72,0.0,0.86,28.0
186,0,20,25.73,0.0,0.86,28.0
186,0,30,25.73,0.0,0.86,28.0
186,0,40,25.73,0.0,0.86,28.0
186,0,50,25.73,0.0,0.87,28.0
186,0,60,25.73,0.0,0.87,28.0
186,1,10,25.73,0.0,0.87,28.0
186,1,20,25.73,0.0,0.87,28.0
186,1,30,25.73,0.0,0.87,28.0
186,1,40,25.73,0.0,0.87,28.0
186,1,50,25.73,0.0,0.87,28.0
186,1,60,25.73,0.0,0.87,28.0
186,2,10,25.73,0.0,0.87,28.0
186,2,20,25.72,0.0,0.86,28.0
186,2,30,25.72,0.0,0.86,28.0
186,2,40,25.71,0.0,0.85,28.0
186,2,50,25.7,0.0,0.85,28.0
186,2,60,25.69,0.0,0.85,28.0
186,3,10,25.69,0.0,0.84,28.0
186,3,20,25.69,0.0,0.84,28.0
186,3,30,25.68,0.0,0.84,28.0
186,3,40,25.68,0.0,0.84,28.0
186,3,50,25.68,0.0,0.84,28.0
186,3,60,25.67,0.0,0.84,28.0
186,4,10,25.68,0.0,0.84,28.0
186,4,20,25.69,0.0,0.84,28.0
186,4,30,25.69,0.0,0.85,28.0
186,4,40,25.69,0.0,0.85,28.0
186,4,50,25.7,0.0,0.85,28.0
